Indicator,GES_matrix,Country,MPROG,RLABO,HELCOM_subbasin,HELCOM_L3,HELCOM_L4,STATN,SD_StationCode,SD_StationName,SD_ReplacedBy_StationCode,SD_ReplacedBy_StationName,MYEAR,DATE,Latitude,Longitude,PURPM,FINFL,DEPHU,DEPHL,PARGROUP,PARAM,MATRX,BASIS,MUNIT,Value,QFLAG,VFLAG,DETLI,LMQNT,UNCRT,METCU,ALABO,METOA,SMTYP,DCFLGs,SMPNO,SUBNO,tblAnalysisID,tblParamID,tblSampleID,tblSpotID,tblUploadID
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,40,DEN-205,,,,,,1991,18/03/1991,56.165,11.8,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,15700,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,101,5,869551,60633223,3337890,591256,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,40,DEN-205,,,,,,1991,18/03/1991,56.165,11.8,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,16100,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,101,1,869551,60633225,3337890,591256,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,40,DEN-205,,,,,,1991,18/03/1991,56.165,11.8,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,18900,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,101,3,869551,60633227,3337890,591256,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,SEA-001,SEA-001,,,,,,1991,18/03/1991,56.66666667,12.11666667,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,26400,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,149,3,869551,60633239,3337891,591260,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,SEA-001,SEA-001,,,,,,1991,18/03/1991,56.66666667,12.11666667,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,27000,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,149,5,869551,60633242,3337891,591260,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,SEA-001,SEA-001,,,,,,1991,18/03/1991,56.66666667,12.11666667,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,32200,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,149,1,869551,60633212,3337891,591260,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,SEA-001,SEA-001,,,,,,1991,19/03/1991,57.205,11.64666667,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,24700,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,104,5,869551,60633236,3337892,591257,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,SEA-001,SEA-001,,,,,,1991,19/03/1991,57.205,11.64666667,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,26100,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,104,3,869551,60633237,3337892,591257,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,SEA-001,SEA-001,,,,,,1991,19/03/1991,57.205,11.64666667,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,28800,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,104,1,869551,60633219,3337892,591257,12332
Metals,Primary,Denmark,BMP~JMP~WGA~CMP~MMP,HFLD,Kattegat,SEA-001,SEA-001,,,,,,1991,19/03/1991,57.3,10.745,T~S,,0,0.01,I-MET,CU,SED2000,D,ug/kg,10500,,A,5000,,,,HFLD,,GC,00-CONV-21~21-CONVR-1,109,1,869551,60633232,3337893,591258,12332
