Indicator,GES_matrix,Country,MPROG,RLABO,HELCOM_subbasin,HELCOM_L3,HELCOM_L4,STATN,SD_StationCode,SD_StationName,SD_ReplacedBy_StationCode,SD_ReplacedBy_StationName,MYEAR,DATE,Latitude,Longitude,PURPM,FINFL,DEPHU,DEPHL,PARGROUP,PARAM,MATRX,MATRX_std,METPT,METPT_std,Filtered,BASIS,MUNIT,Value,QFLAG,VFLAG,DETLI,LMQNT,UNCRT,METCU,ALABO,METOA,SMTYP,DCFLGs,SMPNO,SUBNO,tblAnalysisID,tblParamID,tblSampleID,tblSpotID,tblUploadID
Metals,Primary,Russia,BMP,RCMA,Arkona Basin,SEA-006,SEA-006,A3,,,,,1998,21/07/1998,54.90866667,14.27433333,N,,1,,I-MET,PB,BF,WT,,NF,No,W,ug/l,0.91,,A,0.02,,,,RCMA,,,,3,1,59161,21443648,406100,69715,7609
Metals,Primary,Russia,BMP,RCMA,Arkona Basin,SEA-006,SEA-006,A3,,,,,1998,21/07/1998,54.90866667,14.27433333,N,,1,,I-MET,CD,BF,WT,,NF,No,W,ug/l,0.07,,A,0.02,,,,RCMA,,,,3,1,59162,21443649,406100,69715,7609
Metals,Primary,Russia,BMP,RCMA,Arkona Basin,SEA-006,SEA-006,4316,,,,,1998,21/06/1998,54.97166667,13.223,T~S,,1,,I-MET,PB,BF,WT,,NF,No,W,ug/l,1.12,,A,0.02,,,,RCMA,,,,4316,1,59161,21443116,406090,69733,7609
Metals,Primary,Russia,BMP,RCMA,Arkona Basin,SEA-006,SEA-006,4316,,,,,1998,21/06/1998,54.97166667,13.223,T~S,,1,,I-MET,CD,BF,WT,,NF,No,W,ug/l,0.06,,A,0.02,,,,RCMA,,,,4316,1,59162,21443117,406090,69733,7609
Metals,Primary,Russia,BMP,RCMA,Arkona Basin,SEA-006,SEA-006,BL2,,,,,1998,04/08/1998,55.01383333,13.50733333,N,,1,,I-MET,PB,BF,WT,,NF,No,W,ug/l,0.84,,A,0.02,,,,RCMA,,,,3002,1,59161,21443846,406103,69721,7609
Metals,Primary,Russia,BMP,RCMA,Arkona Basin,SEA-006,SEA-006,BL2,,,,,1998,04/08/1998,55.01383333,13.50733333,N,,1,,I-MET,CD,BF,WT,,NF,No,W,ug/l,0.09,,A,0.02,,,,RCMA,,,,3002,1,59162,21443847,406103,69721,7609
Metals,Primary,Russia,BMP,RCMA,Bornholm Basin,SEA-007,SEA-007,4314,,,,,1998,20/06/1998,55.45883333,15.23183333,T~S,,1,,I-MET,PB,BF,WT,,NF,No,W,ug/l,0.82,,A,0.02,,,,RCMA,,,,4314,1,59161,21443070,406089,69732,7609
Metals,Primary,Russia,BMP,RCMA,Bornholm Basin,SEA-007,SEA-007,4314,,,,,1998,20/06/1998,55.45883333,15.23183333,T~S,,1,,I-MET,CD,BF,WT,,NF,No,W,ug/l,0.09,,A,0.02,,,,RCMA,,,,4314,1,59162,21443071,406089,69732,7609
Metals,Primary,Russia,BMP,RCMA,Bornholm Basin,SEA-007,SEA-007,B2,,,,,1998,30/07/1998,55.47916667,15.99633333,N,,1,,I-MET,PB,BF,WT,,NF,No,W,ug/l,1.08,,A,0.02,,,,RCMA,,,,2002,1,59161,21443714,406101,69720,7609
Metals,Primary,Russia,BMP,RCMA,Bornholm Basin,SEA-007,SEA-007,B2,,,,,1998,30/07/1998,55.47916667,15.99633333,N,,1,,I-MET,CD,BF,WT,,NF,No,W,ug/l,0.09,,A,0.02,,,,RCMA,,,,2002,1,59162,21443715,406101,69720,7609
