country,mprog,helcom_subbasin,helcom_l3,helcom_l4,ices_ecoregion,ospar_region,ospar_subregion,is_amap_monitoring,is_helcom_monitoring,is_medpol_monitoring,is_ospar_monitoring,is_amap_area,is_helcom_area,is_ospar_area,rlabo,slabo,alabo,statn,sd_code_match,sd_code_name,sd_code_replaced,sd_name_replaced,sd_code_final,sd_name_final,myear,date,latitude,longitude,dephu,dephl,purpm,finfl,param,pargroup,matrx,basis,value,munit,detli,lmqnt,uncrt,metcu,qflag,vflag,metoa,metcx,metpt,metst,metps,metfp,smtyp,smpno,subno,dcflgs,tblAnalysisid,tblparamid,tblsampleid,tblspotid,tbluploadid
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,40,DEN-205,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,18/03/1991,56.165,11.8,0,,T~S,,CU,I-MET,SED2000,D,15700,ug/kg,5000,,,,,A,,TOT,,,,,GC,101,5,00-CONV-21~21-CONVR-1,869551,60633223,3337890,591256,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,40,DEN-205,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,18/03/1991,56.165,11.8,0,,T~S,,CU,I-MET,SED2000,D,16100,ug/kg,5000,,,,,A,,TOT,,,,,GC,101,1,00-CONV-21~21-CONVR-1,869551,60633225,3337890,591256,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,40,DEN-205,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,18/03/1991,56.165,11.8,0,,T~S,,CU,I-MET,SED2000,D,18900,ug/kg,5000,,,,,A,,TOT,,,,,GC,101,3,00-CONV-21~21-CONVR-1,869551,60633227,3337890,591256,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,18/03/1991,56.66666667,12.11666667,0,,T~S,,CU,I-MET,SED2000,D,26400,ug/kg,5000,,,,,A,,TOT,,,,,GC,149,3,00-CONV-21~21-CONVR-1,869551,60633239,3337891,591260,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,18/03/1991,56.66666667,12.11666667,0,,T~S,,CU,I-MET,SED2000,D,27000,ug/kg,5000,,,,,A,,TOT,,,,,GC,149,5,00-CONV-21~21-CONVR-1,869551,60633242,3337891,591260,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,18/03/1991,56.66666667,12.11666667,0,,T~S,,CU,I-MET,SED2000,D,32200,ug/kg,5000,,,,,A,,TOT,,,,,GC,149,1,00-CONV-21~21-CONVR-1,869551,60633212,3337891,591260,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,19/03/1991,57.205,11.64666667,0,,T~S,,CU,I-MET,SED2000,D,24700,ug/kg,5000,,,,,A,,TOT,,,,,GC,104,5,00-CONV-21~21-CONVR-1,869551,60633236,3337892,591257,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,19/03/1991,57.205,11.64666667,0,,T~S,,CU,I-MET,SED2000,D,26100,ug/kg,5000,,,,,A,,TOT,,,,,GC,104,3,00-CONV-21~21-CONVR-1,869551,60633237,3337892,591257,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,19/03/1991,57.205,11.64666667,0,,T~S,,CU,I-MET,SED2000,D,28800,ug/kg,5000,,,,,A,,TOT,,,,,GC,104,1,00-CONV-21~21-CONVR-1,869551,60633219,3337892,591257,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,19/03/1991,57.3,10.745,0,,T~S,,CU,I-MET,SED2000,D,10500,ug/kg,5000,,,,,A,,TOT,,,,,GC,109,1,00-CONV-21~21-CONVR-1,869551,60633232,3337893,591258,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,19/03/1991,57.3,10.745,0,,T~S,,CU,I-MET,SED2000,D,11400,ug/kg,5000,,,,,A,,TOT,,,,,GC,109,3,00-CONV-21~21-CONVR-1,869551,60633228,3337893,591258,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,19/03/1991,57.3,10.745,0,,T~S,,CU,I-MET,SED2000,D,12000,ug/kg,5000,,,,,A,,TOT,,,,,GC,109,5,00-CONV-21~21-CONVR-1,869551,60633230,3337893,591258,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,20/03/1991,56.85666667,10.79166667,0,,T~S,,CU,I-MET,SED2000,D,5000,ug/kg,5000,,,,<,A,,TOT,,,,,GC,110,1,00-CONV-21~21-CONVR-1,869551,60633241,3337894,591259,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,20/03/1991,56.85666667,10.79166667,0,,T~S,,CU,I-MET,SED2000,D,6500,ug/kg,5000,,,,,A,,TOT,,,,,GC,110,3,00-CONV-21~21-CONVR-1,869551,60633217,3337894,591259,12332
Denmark,BMP~JMP~WGA~CMP~MMP,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,HFLD,,HFLD,,,,,,,,1991,20/03/1991,56.85666667,10.79166667,0,,T~S,,CU,I-MET,SED2000,D,6600,ug/kg,5000,,,,,A,,TOT,,,,,GC,110,5,00-CONV-21~21-CONVR-1,869551,60633215,3337894,591259,12332
Denmark,CEMP~COMB,Kattegat,40,DEN-160,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NERI,,NERI,NORS-3skelbak,,,,,,,2007,29/10/2007,56.709,10.24066667,0,,S,,CU,I-MET,SED2000,D,1900,ug/kg,2500,,1691,U2,,A,ICP-MS-CC,HF-CM,,,,,HP,7,1,,488016,46716836,2084738,356358,10232
Denmark,CEMP~COMB,Kattegat,40,DEN-160,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NERI,,NERI,NORS-3skelbak,,,,,,,2007,29/10/2007,56.709,10.24066667,0,,S,,CU,I-MET,SED2000,D,2100,ug/kg,2500,,1696,U2,,A,ICP-MS-CC,HF-CM,,,,,HP,7,2,,488016,46716837,2084738,356358,10232
Denmark,CEMP~COMB,Kattegat,SEA-001,SEA-001,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NERI,,NERI,NORS-Station7,,,,,,,2009,09/12/2009,57.35033333,10.71333333,0,,T~S,,CU,I-MET,SED2000,D,6200,ug/kg,2500,,1909,U2,,A,ICP-MS-CC,HF-CM,,,,,HP,20,1,,487925,46715080,2084729,356349,10231
Denmark,CEMP~COMB,Kattegat,40,DEN-225,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NERI,,NERI,NORS-Station8,,,,,,,2009,09/12/2009,57.36216667,10.60366667,0,,T~S,,CU,I-MET,SED2000,D,600,ug/kg,2500,,1669,U2,,A,ICP-MS-CC,HF-CM,,,,,HP,21,1,,487925,46715081,2084730,356350,10231
