country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sub.sample,AMAP_group,source,OSPAR_region,OSPAR_subregion,,latitude,longitude
Denmark,12832,Ittoqqortoormiit District,1983,Ursus maritimus,M,HG,LI,W,mg/kg,4.41,,,,25,%,A20001,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,14,,,,25,%,A20002,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,HA,D,mg/kg,3.7,,,,20,%,A20002,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,15.8,,,,25,%,A20003,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,HA,D,mg/kg,4.39,,,,20,%,A20003,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,19.3,,,,25,%,A20004,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,1.35,,,,25,%,A20005,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,HA,D,mg/kg,1.78,,,,20,%,A20005,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,2.51,,,,25,%,A20006,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,HA,D,mg/kg,2.57,,,,20,%,A20006,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,14.2,,,,25,%,A20007,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,HA,D,mg/kg,4.11,,,,20,%,A20007,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,19.7,,,,25,%,A20008,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,HA,D,mg/kg,5.36,,,,20,%,A20008,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,7.44,,,,25,%,A20009,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,HA,D,mg/kg,4.55,,,,20,%,A20009,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,8.72,,,,25,%,A20010,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,20.1,,,,25,%,A20011,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,9.39,,,,25,%,A20012,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,HA,D,mg/kg,4.58,,,,20,%,A20012,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,11.7,,,,25,%,A20013,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,9.94,,,,25,%,A20014,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,HA,D,mg/kg,2.5,,,,20,%,A20014,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,1.55,,,,25,%,A20015,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,4.78,,,,25,%,A20016,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,HA,D,mg/kg,5.19,,,,20,%,A20016,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,M,HG,LI,W,mg/kg,4.03,,,,25,%,A20017,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1984,Ursus maritimus,F,HG,LI,W,mg/kg,11.6,,,,25,%,A20018,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1985,Ursus maritimus,M,HG,LI,W,mg/kg,9.13,,,,25,%,A20019,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1985,Ursus maritimus,M,HG,LI,W,mg/kg,6.43,,,,25,%,A20020,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1986,Ursus maritimus,F,HG,LI,W,mg/kg,4.96,,,,25,%,A20021,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1986,Ursus maritimus,F,HG,LI,W,mg/kg,7.87,,,,25,%,A20022,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1986,Ursus maritimus,F,HG,HA,D,mg/kg,2.78,,,,20,%,A20022,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,LI,W,mg/kg,10.1,,,,25,%,A20024,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,F,HG,LI,W,mg/kg,4.54,,,,25,%,A20025,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,LI,W,mg/kg,5.14,,,,25,%,A20026,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,F,HG,LI,W,mg/kg,23.9,,,,25,%,A20027,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,F,HG,HA,D,mg/kg,6.32,,,,20,%,A20027,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,LI,W,mg/kg,14.6,,,,25,%,A20028,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,HA,D,mg/kg,5.29,,,,20,%,A20028,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,LI,W,mg/kg,9.19,,,,25,%,A20029,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,F,HG,LI,W,mg/kg,8.44,,,,25,%,A20030,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,F,HG,LI,W,mg/kg,7.05,,,,25,%,A20031,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,F,HG,LI,W,mg/kg,8.39,,,,25,%,A20032,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,F,HG,HA,D,mg/kg,3.75,,,,20,%,A20032,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,LI,W,mg/kg,6.44,,,,25,%,A20033,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,HA,D,mg/kg,3.35,,,,20,%,A20033,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,LI,W,mg/kg,2.84,,,,25,%,A20035,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1987,Ursus maritimus,M,HG,LI,W,mg/kg,11.2,,,,25,%,A20037,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1989,Ursus maritimus,M,HG,LI,W,mg/kg,7.67,,,,25,%,A20038,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1989,Ursus maritimus,F,HG,LI,W,mg/kg,16.39,,,,25,%,A20041,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1990,Ursus maritimus,M,HG,LI,W,mg/kg,7.43,,,,25,%,A20042,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1990,Ursus maritimus,M,HG,LI,W,mg/kg,3.46,,,,25,%,A20043,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1990,Ursus maritimus,M,HG,LI,W,mg/kg,9.45,,,,25,%,A20044,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1990,Ursus maritimus,F,HG,LI,W,mg/kg,18.7,,,,25,%,A20045,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1990,Ursus maritimus,F,HG,LI,W,mg/kg,4.88,,,,25,%,A20046,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1990,Ursus maritimus,F,HG,LI,W,mg/kg,9.64,,,,25,%,A20047,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1990,Ursus maritimus,M,HG,LI,W,mg/kg,3.34,,,,25,%,A20048,Adult_male,Riget,,,,,
