country,station_code,station_name,station_latitude,station_longitude,station_governance,region1,region2,year,species,sex,determinand,matrix,basis,value,unit,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sampleID,series_subroup,source
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,35,ng/g,,,,20,%,SW-ABJ-0001,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,40,ng/g,,,,20,%,SW-ABJ-0002,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,40,ng/g,,,,20,%,SW-ABJ-0003,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,48,ng/g,,,,20,%,SW-ABJ-0004,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,34,ng/g,,,,20,%,SW-ABJ-0005,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,36,ng/g,,,,20,%,SW-ABJ-0006,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,46,ng/g,,,,20,%,SW-ABJ-0007,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,30,ng/g,,,,20,%,SW-ABJ-0008,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,54,ng/g,,,,20,%,SW-ABJ-0009,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1981,Salvelinus alpinus,,HG,MU,W,33,ng/g,,,,20,%,SW-ABJ-0010,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,28,ng/g,,,,20,%,SW-ABJ-0011,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,49,ng/g,,,,20,%,SW-ABJ-0012,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,30,ng/g,,,,20,%,SW-ABJ-0013,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,26,ng/g,,,,20,%,SW-ABJ-0014,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,33,ng/g,,,,20,%,SW-ABJ-0015,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,25,ng/g,,,,20,%,SW-ABJ-0016,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,36,ng/g,,,,20,%,SW-ABJ-0017,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,28,ng/g,,,,20,%,SW-ABJ-0018,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,25,ng/g,,,,20,%,SW-ABJ-0019,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1982,Salvelinus alpinus,,HG,MU,W,40,ng/g,,,,20,%,SW-ABJ-0020,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,19,ng/g,,,,20,%,SW-ABJ-0021,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,30,ng/g,,,,20,%,SW-ABJ-0022,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,24,ng/g,,,,20,%,SW-ABJ-0023,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,41,ng/g,,,,20,%,SW-ABJ-0024,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,30,ng/g,,,,20,%,SW-ABJ-0025,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,28,ng/g,,,,20,%,SW-ABJ-0026,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,29,ng/g,,,,20,%,SW-ABJ-0027,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,30,ng/g,,,,20,%,SW-ABJ-0028,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,24,ng/g,,,,20,%,SW-ABJ-0029,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1983,Salvelinus alpinus,,HG,MU,W,22,ng/g,,,,20,%,SW-ABJ-0030,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,28,ng/g,,,,20,%,SW-ABJ-0031,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,26,ng/g,,,,20,%,SW-ABJ-0032,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,18,ng/g,,,,20,%,SW-ABJ-0033,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,27,ng/g,,,,20,%,SW-ABJ-0034,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,24,ng/g,,,,20,%,SW-ABJ-0035,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,29,ng/g,,,,20,%,SW-ABJ-0036,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,27,ng/g,,,,20,%,SW-ABJ-0037,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,31,ng/g,,,,20,%,SW-ABJ-0038,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,25,ng/g,,,,20,%,SW-ABJ-0039,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1984,Salvelinus alpinus,,HG,MU,W,28,ng/g,,,,20,%,SW-ABJ-0040,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,28,ng/g,,,,20,%,SW-ABJ-0041,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,35,ng/g,,,,20,%,SW-ABJ-0042,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,32,ng/g,,,,20,%,SW-ABJ-0043,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,36,ng/g,,,,20,%,SW-ABJ-0044,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,35,ng/g,,,,20,%,SW-ABJ-0045,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,23,ng/g,,,,20,%,SW-ABJ-0046,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,25,ng/g,,,,20,%,SW-ABJ-0047,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,26,ng/g,,,,20,%,SW-ABJ-0048,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,45,ng/g,,,,20,%,SW-ABJ-0049,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1985,Salvelinus alpinus,,HG,MU,W,24,ng/g,,,,20,%,SW-ABJ-0050,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1986,Salvelinus alpinus,,HG,MU,W,33,ng/g,,,,20,%,SW-ABJ-0051,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1986,Salvelinus alpinus,,HG,MU,W,31,ng/g,,,,20,%,SW-ABJ-0052,,SuzanneF
Sweden,A401,Abiskojaure AMAP,68.28789,18.58575,AMAP~OSPAR,1,Barents Sea,1986,Salvelinus alpinus,,HG,MU,W,33,ng/g,,,,20,%,SW-ABJ-0053,,SuzanneF
