country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,subseries,sample_latitude,sample_longitude,date,depth,method_pretreatment,method_analysis,method_extraction,noinp
Canada,A3,Southern Hudson Bay,2006,Ursus maritimus,F,HG,LI,D,34.42,ug/g,,,,,,A10001,adult_female,,,,,,,,
Canada,A3,Southern Hudson Bay,2006,Ursus maritimus,M,HG,LI,D,49.1,ug/g,,,,,,A10002,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,15.97,ug/g,,,,,,A10003,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,10.83,ug/g,,,,,,A10004,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,15.22,ug/g,,,,,,A10005,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,F,HG,LI,D,18.69,ug/g,,,,,,A10006,adult_female,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,10.17,ug/g,,,,,,A10007,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,20.31,ug/g,,,,,,A10008,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,38.3,ug/g,,,,,,A10009,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,I,HG,LI,D,9.82,ug/g,,,,,,A10010,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,F,HG,LI,D,19.22,ug/g,,,,,,A10011,adult_female,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,20.18,ug/g,,,,,,A10012,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,16.34,ug/g,,,,,,A10013,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2007,Ursus maritimus,M,HG,LI,D,10.96,ug/g,,,,,,A10014,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,16.46,ug/g,,,,,,A10015,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,11.93,ug/g,,,,,,A10016,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,12.97,ug/g,,,,,,A10017,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,19.65,ug/g,,,,,,A10018,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,11.83,ug/g,,,,,,A10019,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,11.24,ug/g,,,,,,A10020,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,15.15,ug/g,,,,,,A10021,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,14.32,ug/g,,,,,,A10022,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,16.61,ug/g,,,,,,A10023,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,42.45,ug/g,,,,,,A10024,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,F,HG,LI,D,15.94,ug/g,,,,,,A10025,adult_female,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,48.29,ug/g,,,,,,A10026,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,F,HG,LI,D,32.95,ug/g,,,,,,A10027,adult_female,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,6.34,ug/g,,,,,,A10028,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,F,HG,LI,D,21.08,ug/g,,,,,,A10029,adult_female,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,17.16,ug/g,,,,,,A10030,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,10.86,ug/g,,,,,,A10031,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,I,HG,LI,D,7.53,ug/g,,,,,,A10032,juvenile,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,27.76,ug/g,,,,,,A10033,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,18.73,ug/g,,,,,,A10034,adult_male,,,,,,,,
Canada,A3,Southern Hudson Bay,2009,Ursus maritimus,M,HG,LI,D,24.87,ug/g,,,,,,A10035,adult_male,,,,,,,,
