country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,censoring,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,subseries,source
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,I,HG,KI,D,1.43,ug/g,,,,,,A12594,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,I,HG,KI,D,1.5,ug/g,,,,,,A12595,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,1.57,ug/g,,,,,,A12596,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,F,HG,KI,D,1.81,ug/g,,,,,,A12597,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,1.92,ug/g,,,,,,A12598,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,I,HG,KI,D,2.31,ug/g,,,,,,A12599,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,2.33,ug/g,,,,,,A12600,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,2.36,ug/g,,,,,,A12601,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,2.37,ug/g,,,,,,A12602,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,2.5,ug/g,,,,,,A12603,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,2.76,ug/g,,,,,,A12604,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,2.8,ug/g,,,,,,A12605,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,2.92,ug/g,,,,,,A12606,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,F,HG,KI,D,3.53,ug/g,,,,,,A12607,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,F,HG,KI,D,3.57,ug/g,,,,,,A12608,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,3.67,ug/g,,,,,,A12609,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,F,HG,KI,D,3.92,ug/g,,,,,,A12610,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,4,ug/g,,,,,,A12611,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,F,HG,KI,D,4.02,ug/g,,,,,,A12612,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,M,HG,KI,D,4.03,ug/g,,,,,,A12613,,Gamberg
Canada,A6,Western Hudson Bay,2006,Rangifer tarandus,F,HG,KI,D,4.46,ug/g,,,,,,A12614,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,I,HG,KI,D,1.16,ug/g,,,,,,A12615,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,I,HG,KI,D,1.42,ug/g,,,,,,A12616,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,2.76,ug/g,,,,,,A12617,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,I,HG,KI,D,3.45,ug/g,,,,,,A12618,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,3.87,ug/g,,,,,,A12619,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,M,HG,KI,D,3.87,ug/g,,,,,,A12620,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,M,HG,KI,D,3.89,ug/g,,,,,,A12621,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,I,HG,KI,D,4.41,ug/g,,,,,,A12622,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,I,HG,KI,D,4.42,ug/g,,,,,,A12623,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,M,HG,KI,D,4.68,ug/g,,,,,,A12624,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,I,HG,KI,D,5.18,ug/g,,,,,,A12625,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,5.27,ug/g,,,,,,A12626,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,M,HG,KI,D,5.79,ug/g,,,,,,A12627,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,6.42,ug/g,,,,,,A12628,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,M,HG,KI,D,6.58,ug/g,,,,,,A12629,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,6.64,ug/g,,,,,,A12630,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,7.64,ug/g,,,,,,A12631,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,7.94,ug/g,,,,,,A12632,,Gamberg
Canada,A6,Western Hudson Bay,2007,Rangifer tarandus,F,HG,KI,D,8.53,ug/g,,,,,,A12633,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,I,HG,KI,D,1.38,ug/g,,,,,,A12634,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,M,HG,KI,D,1.49,ug/g,,,,,,A12635,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,X,HG,KI,D,1.86,ug/g,,,,,,A12636,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,M,HG,KI,D,1.88,ug/g,,,,,,A12637,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,M,HG,KI,D,2.04,ug/g,,,,,,A12638,,Gamberg
