country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,series_subroup,source
Greenland,A90,Ittoqqortoormiit AMAP,1983,Ursus maritimus,M,HG,LI,W,4.41,mg/kg,,,,25,%,A20001,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1983,Ursus maritimus,M,AGMEA,WO,,2,y,,,,,,A20001,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1983,Ursus maritimus,M,N15D,MU,D,19.75,ppt,,,,,,A20001,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1983,Ursus maritimus,M,C13D,MU,D,-19.35,ppt,,,,,,A20001,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,14,mg/kg,,,,25,%,A20002,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,HA,D,3.7,mg/kg,,,,20,%,A20002,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,17,y,,,,,,A20002,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,15.8,mg/kg,,,,25,%,A20003,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,HA,D,4.39,mg/kg,,,,20,%,A20003,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,14,y,,,,,,A20003,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,19.3,mg/kg,,,,25,%,A20004,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,10,y,,,,,,A20004,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,N15D,MU,D,19.7,ppt,,,,,,A20004,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,C13D,MU,D,-18.2,ppt,,,,,,A20004,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,1.35,mg/kg,,,,25,%,A20005,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,HA,D,1.78,mg/kg,,,,20,%,A20005,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,1,y,,,,,,A20005,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,2.51,mg/kg,,,,25,%,A20006,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,HA,D,2.57,mg/kg,,,,20,%,A20006,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,4,y,,,,,,A20006,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,N15D,MU,D,17.6,ppt,,,,,,A20006,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,C13D,MU,D,-18.6,ppt,,,,,,A20006,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,14.2,mg/kg,,,,25,%,A20007,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,HA,D,4.11,mg/kg,,,,20,%,A20007,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,8,y,,,,,,A20007,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,N15D,MU,D,18,ppt,,,,,,A20007,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,C13D,MU,D,-19.1,ppt,,,,,,A20007,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,19.7,mg/kg,,,,25,%,A20008,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,HA,D,5.36,mg/kg,,,,20,%,A20008,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,9,y,,,,,,A20008,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,N15D,MU,D,17.8,ppt,,,,,,A20008,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,C13D,MU,D,-19.6,ppt,,,,,,A20008,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,7.44,mg/kg,,,,25,%,A20009,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,HA,D,4.55,mg/kg,,,,20,%,A20009,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,2,y,,,,,,A20009,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,8.72,mg/kg,,,,25,%,A20010,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,2,y,,,,,,A20010,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,N15D,MU,D,17.9,ppt,,,,,,A20010,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,C13D,MU,D,-18.8,ppt,,,,,,A20010,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,20.1,mg/kg,,,,25,%,A20011,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,11,y,,,,,,A20011,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,9.39,mg/kg,,,,25,%,A20012,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,HA,D,4.58,mg/kg,,,,20,%,A20012,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,13,y,,,,,,A20012,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,11.7,mg/kg,,,,25,%,A20013,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,5,y,,,,,,A20013,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,9.94,mg/kg,,,,25,%,A20014,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,HA,D,2.5,mg/kg,,,,20,%,A20014,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,10,y,,,,,,A20014,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,N15D,MU,D,17.6,ppt,,,,,,A20014,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,C13D,MU,D,-18.4,ppt,,,,,,A20014,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,1.55,mg/kg,,,,25,%,A20015,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,1,y,,,,,,A20015,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,N15D,MU,D,18.7,ppt,,,,,,A20015,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,C13D,MU,D,-18.5,ppt,,,,,,A20015,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,4.78,mg/kg,,,,25,%,A20016,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,HA,D,5.19,mg/kg,,,,20,%,A20016,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,12,y,,,,,,A20016,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,N15D,MU,D,19,ppt,,,,,,A20016,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,C13D,MU,D,-20.2,ppt,,,,,,A20016,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,4.03,mg/kg,,,,25,%,A20017,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,WO,,12,y,,,,,,A20017,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,11.6,mg/kg,,,,25,%,A20018,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,WO,,4,y,,,,,,A20018,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,N15D,MU,D,19.4,ppt,,,,,,A20018,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,C13D,MU,D,-19.75,ppt,,,,,,A20018,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,HG,LI,W,9.13,mg/kg,,,,25,%,A20019,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,AGMEA,WO,,3,y,,,,,,A20019,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,HG,LI,W,6.43,mg/kg,,,,25,%,A20020,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,AGMEA,WO,,3,y,,,,,,A20020,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,LI,W,4.96,mg/kg,,,,25,%,A20021,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,AGMEA,WO,,4,y,,,,,,A20021,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,N15D,MU,D,17.2,ppt,,,,,,A20021,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,C13D,MU,D,-19,ppt,,,,,,A20021,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,LI,W,7.87,mg/kg,,,,25,%,A20022,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,HA,D,2.78,mg/kg,,,,20,%,A20022,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,AGMEA,WO,,2,y,,,,,,A20022,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,N15D,MU,D,17.4,ppt,,,,,,A20022,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,C13D,MU,D,-18.8,ppt,,,,,,A20022,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,LI,W,3.19,mg/kg,,,,25,%,A20023,undefined,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,10.1,mg/kg,,,,25,%,A20024,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,WO,,3,y,,,,,,A20024,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,N15D,MU,D,18.2,ppt,,,,,,A20024,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,C13D,MU,D,-20.5,ppt,,,,,,A20024,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,4.54,mg/kg,,,,25,%,A20025,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,WO,,2,y,,,,,,A20025,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,N15D,MU,D,17.1,ppt,,,,,,A20025,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,C13D,MU,D,-19.5,ppt,,,,,,A20025,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,5.14,mg/kg,,,,25,%,A20026,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,WO,,2,y,,,,,,A20026,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,N15D,MU,D,17,ppt,,,,,,A20026,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,C13D,MU,D,-19.2,ppt,,,,,,A20026,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,23.9,mg/kg,,,,25,%,A20027,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,HA,D,6.32,mg/kg,,,,20,%,A20027,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,WO,,13,y,,,,,,A20027,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,14.6,mg/kg,,,,25,%,A20028,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,HA,D,5.29,mg/kg,,,,20,%,A20028,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,WO,,3,y,,,,,,A20028,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,9.19,mg/kg,,,,25,%,A20029,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,WO,,4,y,,,,,,A20029,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,N15D,MU,D,16.9,ppt,,,,,,A20029,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,C13D,MU,D,-18.8,ppt,,,,,,A20029,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,8.44,mg/kg,,,,25,%,A20030,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,WO,,6,y,,,,,,A20030,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,N15D,MU,D,17.3,ppt,,,,,,A20030,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,C13D,MU,D,-18.8,ppt,,,,,,A20030,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,7.05,mg/kg,,,,25,%,A20031,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,WO,,3,y,,,,,,A20031,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,N15D,MU,D,19.5,ppt,,,,,,A20031,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,C13D,MU,D,-19.4,ppt,,,,,,A20031,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,8.39,mg/kg,,,,25,%,A20032,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,HA,D,3.75,mg/kg,,,,20,%,A20032,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,WO,,3,y,,,,,,A20032,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,N15D,MU,D,17.8,ppt,,,,,,A20032,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,C13D,MU,D,-19.2,ppt,,,,,,A20032,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,6.44,mg/kg,,,,25,%,A20033,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,HA,D,3.35,mg/kg,,,,20,%,A20033,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,WO,,3,y,,,,,,A20033,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,24.8,mg/kg,,,,25,%,A20034,undefined,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,HA,D,4.85,mg/kg,,,,20,%,A20034,undefined,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,2.84,mg/kg,,,,25,%,A20035,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,WO,,1,y,,,,,,A20035,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,N15D,MU,D,18.65,ppt,,,,,,A20035,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,C13D,MU,D,-20.25,ppt,,,,,,A20035,juvenile,Riget
