country;station_code;station_name;year;species;sex;determinand;matrix;basis;unit;value;qflag;limit_detection;limit_quantification;uncertainty;methodUncertainty;sub.sample;AMAP_group;idno
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;SCB7;BB;L;ng/g;18948.68;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;DDTPP;BB;L;ng/g;899.21;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;HCH;BB;L;ng/g;526.18;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;HCB;BB;L;ng/g;71.57;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;OCB;BB;L;ng/g;39.86;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;DIEL;BB;L;ng/g;416.4;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;HCEPX;BB;L;ng/g;374.37;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;MIREX;BB;L;ng/g;8.37;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;AGMEA;HA;D;y;3;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;OCDAN;BB;L;ng/g;2713.11;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;TNONC;BB;L;ng/g;379.74;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;N15D;MU;D;ppt;19.8;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1983;Ursus maritimus;M;C13D;MU;D;ppt;-19.4;;;;25;%;;juvenile;1303
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;SCB7;BB;L;ng/g;10053.27;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DDTPP;BB;L;ng/g;427.84;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCH;BB;L;ng/g;316;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCB;BB;L;ng/g;308;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCB;BB;L;ng/g;24;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DIEL;BB;L;ng/g;315.96;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCEPX;BB;L;ng/g;225;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;MIREX;BB;L;ng/g;12.5;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;AGMEA;HA;D;y;10;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCDAN;BB;L;ng/g;1548;;;;25;%;;adult_female;1306
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;TNONC;BB;L;ng/g;173.54;;;;25;%;;adult_female;1306
