country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,methodUncertainty,latitude,longitude,date,depth,noinp,filtered,AMAP_group,sampleID,replicate,pargroup,metpt,metoa,metcx,OSPAR_region,OSPAR_subregion
Denmark,A9,Ittoqqortoormiit AMAP,1983,Ursus maritimus,M,HG,LI,W,mg/kg,4.41,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1983,Ursus maritimus,M,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,mg/kg,19.3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,HA,D,y,10,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,mg/kg,8.72,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,mg/kg,20.1,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,HA,D,y,11,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,mg/kg,11.7,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,HA,D,y,5,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,mg/kg,1.55,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,HA,D,y,1,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,mg/kg,4.01,,,,25,%,,,,,,,,,,,,,,,
