"country"	"mprog"	"helcom_subbasin"	"helcom_l3"	"helcom_l4"	"ices_ecoregion"	"ospar_region"	"ospar_subregion"	"is_amap_monitoring"	"is_helcom_monitoring"	"is_medpol_monitoring"	"is_ospar_monitoring"	"is_amap_area"	"is_helcom_area"	"is_ospar_area"	"rlabo"	"slabo"	"alabo"	"statn"	"myear"	"date"	"latitude"	"longitude"	"dephu"	"dephl"	"purpm"	"finfl"	"param"	"pargroup"	"matrx"	"basis"	"value"	"munit"	"detli"	"lmqnt"	"uncrt"	"metcu"	"qflag"	"vflag"	"metoa"	"metcx"	"metpt"	"metst"	"metps"	"metfp"	"smtyp"	"smpno"	"subno"	"dcflgs"	"tblanalysisid"	"tblparamid"	"tblsampleid"	"tblspotid"	"tbluploadid"	"subseries"
"Russia"	"BMP"	"Eastern Gotland Basin"	"SEA-009"	"SEA-009"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"RCMA"		"RCMA"		1998	"1998-06-13"	57.3235	20.04933333	1		"T~S"		"CU"	"I-MET"	"WT"	"W"	0.9	"ug/l"	0.02					"A"			"NF"					"4277"	"01"		59158	21442869	"406086"	69729	7609	
"Russia"	"BMP"	"Arkona Basin"	"SEA-006"	"SEA-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"RCMA"		"RCMA"		1998	"1998-06-21"	54.97166667	13.223	1		"T~S"		"CU"	"I-MET"	"WT"	"W"	0.93	"ug/l"	0.02					"A"			"NF"					"4316"	"01"		59158	21443113	"406090"	69733	7609	
"Russia"	"BMP"	"Eastern Gotland Basin"	"SEA-009"	"SEA-009"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"RCMA"		"RCMA"		1998	"1998-07-01"	55.31983333	19.675	1		"T~S"		"HG"	"I-MET"	"WT"	"W"	0.06	"ug/l"	0.02					"A"			"NF"					"4331"	"01"		59165	21443292	"406094"	69734	7609	
"Russia"	"BMP"	"Northern Baltic Proper"	"SEA-012"	"SEA-012"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"RCMA"		"RCMA"		1998	"1998-07-15"	58.98966667	21.3495	1		"N"		"CU"	"I-MET"	"WT"	"W"	1	"ug/l"	0.02					"A"			"NF"					"0001"	"01"		59158	21443513	"406098"	69713	7609	
"Russia"	"BMP"	"Northern Baltic Proper"	"SEA-012"	"SEA-012"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"RCMA"		"RCMA"		1998	"1998-07-15"	58.98966667	21.3495	1		"N"		"CD"	"I-MET"	"WT"	"W"	0.05	"ug/l"	0.02					"A"			"NF"					"0001"	"01"		59162	21443517	"406098"	69713	7609	
"Russia"	"BMP"	"Arkona Basin"	"SEA-006"	"SEA-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"RCMA"		"RCMA"		1998	"1998-08-04"	55.01383333	13.50733333	1		"N"		"PB"	"I-MET"	"WT"	"W"	0.84	"ug/l"	0.02					"A"			"NF"					"3002"	"01"		59161	21443846	"406103"	69721	7609	
"Russia"	"BMP"	"Northern Baltic Proper"	"SEA-012"	"SEA-012"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"RCMA"		"RCMA"		1998	"1998-08-10"	59.2	21.8	1		"N"		"CD"	"I-MET"	"WT"	"W"	0.07	"ug/l"	0.02					"A"			"NF"					"1004"	"01"		59162	21444045	"406106"	69718	7609	
"Finland"	"NATL~COMB"	"Bothnian Bay"	"1"	"FIN-010"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"FEIF"	"LAPF"	"PPOF"		1999	"1999-03-17"	65.66016667	24.8651	1				"CORG"	"O-MAJ"	"WT"	"W"	9.4	"mg/l"						"A"	"SPEC-IR"		"NF"	"FR"		"HCL"	"QSM"	"VN1625655M327"	"1"		59670	21724345	"463622"	76616	7713	
"Finland"	"NATL~COMB"	"Åland Sea"	"8"	"FIN-014"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"FEIF"	"FEIF"	"FEIF"		2000	"2000-08-14"	60.26283333	20.44791667	10				"CORG"	"O-MAJ"	"WT"	"W"	3.9	"mg/l"						"A"	"SPEC-IR"		"NF"	"FR"		"HCL"	"QSM"	"VN1708396M327"	"1"		60377	21893092	"648407"	80208	7721	
"Finland"	"NATL~COMB"	"Åland Sea"	"8"	"FIN-014"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"FEIF"	"LOSF"	"FEIF"		2004	"2004-07-28"	60.26283333	20.44791667	1				"CORG"	"O-MAJ"	"WT"	"W"	2.4	"mg/l"						"A"	"SPEC-IR"		"NF"	"FR"		"HCL"	"QSM"	"VN2061192M327"	"1"		60564	21936929	"687818"	81166	7723	
