determinand,ospar_subregion,BAC_basis,ERL_basis,EAC_basis,EQS_basis,FEQG_basis,BAC,ERL,EAC,EQS,FEQG
AS,Barents Sea,D,,,,,25,,,,
AS,Celtic Sea,D,,,,,25,,,,
AS,Channel,D,,,,,25,,,,
AS,East of Iceland,D,,,,,25,,,,
AS,Greenland-Scotland ridge,D,,,,,25,,,,
AS,Irish Sea,D,,,,,25,,,,
AS,Irish and Scottish West Coast,D,,,,,25,,,,
AS,Northern Bay of Biscay,D,,,,,25,,,,
AS,Northern North Sea,D,,,,,25,,,,
AS,Norwegian Sea,D,,,,,25,,,,
AS,Norwegian Trench,D,,,,,25,,,,
AS,Skagerrak and Kattegat,D,,,,,25,,,,
AS,Southern North Sea,D,,,,,25,,,,
AS,West of Iceland,D,,,,,25,,,,
AS,Wider Atlantic,D,,,,,25,,,,
AS,Gulf of Cadiz,,,,,,,,,,
AS,Iberian Coast,,,,,,,,,,
CD,Barents Sea,D,D,,,,0.31,1.2,,,
CD,Celtic Sea,D,D,,,,0.31,1.2,,,
CD,Channel,D,D,,,,0.31,1.2,,,
CD,East of Iceland,D,D,,,,0.31,1.2,,,
CD,Greenland-Scotland ridge,D,D,,,,0.31,1.2,,,
CD,Irish Sea,D,D,,,,0.31,1.2,,,
CD,Irish and Scottish West Coast,D,D,,,,0.31,1.2,,,
CD,Northern Bay of Biscay,D,D,,,,0.31,1.2,,,
CD,Northern North Sea,D,D,,,,0.31,1.2,,,
CD,Norwegian Sea,D,D,,,,0.31,1.2,,,
CD,Norwegian Trench,D,D,,,,0.31,1.2,,,
CD,Skagerrak and Kattegat,D,D,,,,0.31,1.2,,,
CD,Southern North Sea,D,D,,,,0.31,1.2,,,
CD,West of Iceland,D,D,,,,0.31,1.2,,,
CD,Wider Atlantic,D,D,,,,0.31,1.2,,,
CD,Gulf of Cadiz,D,D,,,,0.129,1.2,,,
CD,Iberian Coast,D,D,,,,0.129,1.2,,,
CR,Barents Sea,,D,,,,,81,,,
CR,Celtic Sea,,D,,,,,81,,,
CR,Channel,,D,,,,,81,,,
CR,East of Iceland,,D,,,,,81,,,
CR,Greenland-Scotland ridge,,D,,,,,81,,,
CR,Irish Sea,,D,,,,,81,,,
CR,Irish and Scottish West Coast,,D,,,,,81,,,
CR,Northern Bay of Biscay,,D,,,,,81,,,
CR,Northern North Sea,,D,,,,,81,,,
CR,Norwegian Sea,,D,,,,,81,,,
CR,Norwegian Trench,,D,,,,,81,,,
CR,Skagerrak and Kattegat,,D,,,,,81,,,
CR,Southern North Sea,,D,,,,,81,,,
CR,West of Iceland,,D,,,,,81,,,
CR,Wider Atlantic,,D,,,,,81,,,
CR,Gulf of Cadiz,,D,,,,,81,,,
CR,Iberian Coast,,D,,,,,81,,,
CU,Barents Sea,D,D,,,,27,34,,,
CU,Celtic Sea,D,D,,,,27,34,,,
CU,Channel,D,D,,,,27,34,,,
CU,East of Iceland,D,D,,,,27,34,,,
CU,Greenland-Scotland ridge,D,D,,,,27,34,,,
CU,Irish Sea,D,D,,,,27,34,,,
CU,Irish and Scottish West Coast,D,D,,,,27,34,,,
CU,Northern Bay of Biscay,D,D,,,,27,34,,,
CU,Northern North Sea,D,D,,,,27,34,,,
CU,Norwegian Sea,D,D,,,,27,34,,,
CU,Norwegian Trench,D,D,,,,27,34,,,
CU,Skagerrak and Kattegat,D,D,,,,27,34,,,
CU,Southern North Sea,D,D,,,,27,34,,,
CU,West of Iceland,D,D,,,,27,34,,,
CU,Wider Atlantic,D,D,,,,27,34,,,
CU,Gulf of Cadiz,,D,,,,,34,,,
CU,Iberian Coast,,D,,,,,34,,,
HG,Barents Sea,D,D,,,,0.07,0.15,,,
HG,Celtic Sea,D,D,,,,0.07,0.15,,,
HG,Channel,D,D,,,,0.07,0.15,,,
HG,East of Iceland,D,D,,,,0.07,0.15,,,
HG,Greenland-Scotland ridge,D,D,,,,0.07,0.15,,,
HG,Irish Sea,D,D,,,,0.07,0.15,,,
HG,Irish and Scottish West Coast,D,D,,,,0.07,0.15,,,
HG,Northern Bay of Biscay,D,D,,,,0.07,0.15,,,
HG,Northern North Sea,D,D,,,,0.07,0.15,,,
HG,Norwegian Sea,D,D,,,,0.07,0.15,,,
HG,Norwegian Trench,D,D,,,,0.07,0.15,,,
HG,Skagerrak and Kattegat,D,D,,,,0.07,0.15,,,
HG,Southern North Sea,D,D,,,,0.07,0.15,,,
HG,West of Iceland,D,D,,,,0.07,0.15,,,
HG,Wider Atlantic,D,D,,,,0.07,0.15,,,
HG,Gulf of Cadiz,D,D,,,,0.091,0.15,,,
HG,Iberian Coast,D,D,,,,0.091,0.15,,,
NI,Barents Sea,D,,,,,36,,,,
NI,Celtic Sea,D,,,,,36,,,,
NI,Channel,D,,,,,36,,,,
NI,East of Iceland,D,,,,,36,,,,
NI,Greenland-Scotland ridge,D,,,,,36,,,,
NI,Irish Sea,D,,,,,36,,,,
