"series","region","subregion","ICES_ecoregion","country","station_code","station_name","station_long_name","latitude","longitude","MSTAT","WLTYP","determinand","determinand_group","species","matrix","basis","unit","sex","metoa","mammal_group","shape","colour","n_year_all","n_year_fit","n_year_positive","first_year_all","first_year_fit","last_year","p_nonlinear","p_linear","p_overall","p_linear_trend","linear_trend","p_recent_trend","recent_trend","detectable_trend","mean_last_year","climit_last_year","BAC_type","BAC_value","BAC_diff","BAC_achieved","BAC_below","EAC_type","EAC_value","EAC_diff","EAC_achieved","EAC_below","HQS","HQS_diff","HQS_achieved","HQS_below"
"Norway_10A2 Skallneset HG Mytilus edulis SB Not_applicable","1","Barents Sea","Barents Sea","Norway","4869","10A2 Skallneset","10A2 Skallnes, Outer Varangerfjord",70.13728,30.34175,"B","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","downward_triangle","blue",24,24,24,1994,1994,2020,,0.0046,0.0046,0.0046,-1.1,0.0046,-1.1,5.3,43.52732349052174,48.36631922775749,"BAC",90,-41.63368077224251,2020,"below","EQS.OSPAR",121.95121951219514,-73.58490028443765,2020,"below",3048.7804878048782,-3000.4141685771206,2020,"below"
"Norway_10B Varangerfjorden HG Gadus morhua MU Not_applicable","1","Barents Sea","Barents Sea","Norway","4871","10B Varangerfjorden","10B Kjøfjord, Outer Varangerfjord",69.81623,29.7602,"B","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","upward_triangle","red",26,26,26,1994,1994,2020,0,0.9487,0,0.0155,-2.7,0.0418,2.2,10.8,22.720163299879015,31.619597841081475,,,,,,"EQS.OSPAR",20,11.619597841081475,3000,"above",500,-468.3804021589185,2020,"below"
"Norway_11X Brashavn HG Mytilus edulis SB Not_applicable","1","Barents Sea","Barents Sea","Norway","4878","11X Brashavn","11X Brashavn, Outer Varangerfjord",69.8993,29.741,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","blue",21,21,21,1997,1997,2020,0.0119,0.9624,0.0119,0.8403,0.1,0.1769,0.8,5.9,61.45956817464691,72.7501491226351,"BAC",90,-17.249850877364906,2020,"below","EQS.OSPAR",121.95121951219514,-49.201070389560044,2020,"below",3048.7804878048782,-2976.0303386822434,2020,"below"
"Norway_19B Isfjorden HG Gadus morhua MU Not_applicable","1","Barents Sea","Barents Sea","Norway","12205","19B Isfjorden","19B Isfjorden, Svalbard",78.17,13.46,"B",,"HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","small_filled_circle","red",4,4,4,2017,2017,2020,,,,,,,,8.5,27.838285222840987,35.676801309963466,,,,,,"EQS.OSPAR",20,15.676801309963466,,,500,-464.3231986900365,2020,
"Norway_19N Breøyane HG Somateria mollissima BL Not_applicable","1","Barents Sea","Barents Sea","Norway","12206","19N Breøyane","19N Breøyane, Kongsfjorden, Svalbard",79.004,12.11,"B","CF","HG","Metals","Somateria mollissima","BL","W","ug/kg",,,"Not_applicable","small_open_circle","blue",2,2,2,2019,2019,2020,,,,,,,,,124.77038911536664,,"BAC",200,-75.22961088463336,2020,,"EQS.OSPAR",1000,-875.2296108846333,2020,,,,,
"Norway_19N Breøyane HG Somateria mollissima EH Not_applicable","1","Barents Sea","Barents Sea","Norway","12206","19N Breøyane","19N Breøyane, Kongsfjorden, Svalbard",79.004,12.11,"B","CF","HG","Metals","Somateria mollissima","EH","W","ug/kg",,,"Not_applicable","small_open_circle","green",2,2,2,2019,2019,2020,,,,,,,,,110.62000000000002,,"BAC",110,0.6200000000000188,,,"EQS.OSPAR",470,-359.38,2020,,,,,
"Norway_43B2 Tromsø harbour HG Gadus morhua MU Not_applicable","1","Barents Sea","Barents Sea","Norway","4845","43B2 Tromsø harbour","43B2 Tromsø harbour area",69.653,18.974,"IH","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","upward_triangle","red",12,12,12,2009,2009,2020,,0.0025,0.0025,0.0025,5,0.0025,5,6.6,60.141263011486245,71.08165415220294,,,,,,"EQS.OSPAR",20,51.081654152202944,3000,"above",500,-428.91834584779707,2020,"below"
"Norway_45B2 Hammerfest harbour HG Gadus morhua MU Not_applicable","1","Barents Sea","Barents Sea","Norway","10922","45B2 Hammerfest harbour","45B2 Hammerfest harbour area",70.65,23.63333,"IH","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",6,6,6,2015,2015,2020,,0.2581,0.2581,0.2581,-4.1,0.2581,-4.1,5.8,36.10394468092537,45.032257645214955,,,,,,"EQS.OSPAR",20,25.032257645214955,2034,"above",500,-454.96774235478506,2020,"below"
"Norway_97A2 Bodø harbour HG Mytilus edulis SB Not_applicable","1","Barents Sea","Norwegian Sea","Norway","4857","97A2 Bodø harbour","97A2 Mjelle, Bodø area",67.41271,14.62193,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",6,6,6,2015,2015,2020,,0.3061,0.3061,0.3061,3,0.3061,3,4.7,126.89491054674653,151.02325775337178,"BAC",90,61.02325775337178,3000,"above","EQS.OSPAR",121.95121951219514,29.072038241176642,3000,"above",3048.7804878048782,-2897.7572300515067,2020,"below"
"Norway_97A3 Bodø harbour HG Mytilus edulis SB Not_applicable","1","Barents Sea","Norwegian Sea","Norway","12204","97A3 Bodø harbour","97A3 Bodø harbour",67.2963,14.39564,,"CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","red",3,3,3,2018,2018,2020,,,,,,,,6.3,96.40774598791907,124.83832773476087,"BAC",90,34.83832773476087,,,"EQS.OSPAR",121.95121951219514,2.887108222565729,2020,,3048.7804878048782,-2923.9421600701176,2020,
